started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-12-01 04:10:58.277000+00:00,2024-12-01 04:19:59.719000+00:00,541,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046,812,Hans Hauges gate,Jens Rolfens gate 6,60.40190553013225,5.324747767839426
2024-12-01 04:37:44.523000+00:00,2024-12-01 04:42:38.172000+00:00,293,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2024-12-01 04:38:22.441000+00:00,2024-12-01 04:42:56.648000+00:00,274,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
2024-12-01 04:53:04.897000+00:00,2024-12-01 04:56:59.538000+00:00,234,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635
2024-12-01 05:39:35.287000+00:00,2024-12-01 05:53:54.946000+00:00,859,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891,8,Haukeland sykehus,Ved HUD-bygget,60.373637920628255,5.35659456239955
2024-12-01 06:08:47.462000+00:00,2024-12-01 06:15:09.623000+00:00,382,157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525,215,Nonneseterplass,ved Jernbanestasjonen og Bystasjonen,60.38967202352878,5.3336050852019525
2024-12-01 06:34:48.950000+00:00,2024-12-01 06:40:55.610000+00:00,366,641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.3310207695192275,795,Fosswinckels gate,I gågate,60.38658166593217,5.327978744635743
2024-12-01 07:25:27.828000+00:00,2024-12-01 07:32:36.131000+00:00,428,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351,1043,Comfort Hotel Bergen,Holbergsallmenningen bussholdeplass,60.396329429740746,5.315115500234867
2024-12-01 08:29:33.800000+00:00,2024-12-01 08:32:50.498000+00:00,196,8,Haukeland sykehus,Ved HUD-bygget,60.373637920628255,5.35659456239955,3396,Kronstad bybanestopp,Ved siden av sykkelskur,60.37178687508714,5.349552885719248
2024-12-01 08:44:38.166000+00:00,2024-12-01 08:49:50.174000+00:00,312,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646
2024-12-01 08:45:06.351000+00:00,2024-12-01 08:51:44.884000+00:00,398,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351
2024-12-01 08:45:20.362000+00:00,2024-12-01 08:56:35.566000+00:00,675,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777
2024-12-01 08:46:17.172000+00:00,2024-12-01 08:58:04.883000+00:00,707,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753,818,Vågsallmenningen,Ved Husfliden,60.393689548634,5.3265806966930995
2024-12-01 08:47:09.540000+00:00,2024-12-01 08:52:17.356000+00:00,307,641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.3310207695192275,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649
2024-12-01 08:48:01.271000+00:00,2024-12-01 08:57:43.690000+00:00,582,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753,301,Lars Hilles,Lars Hilles gate 18,60.388117889090395,5.331487235597251
2024-12-01 08:49:44.831000+00:00,2024-12-01 09:35:05.285000+00:00,2720,4962,Mindemyren bybanestopp,På sørsiden av dammen bak bybanestoppet,60.365322216208966,5.344795288464837,87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
2024-12-01 08:52:29.279000+00:00,2024-12-01 09:01:04.081000+00:00,514,1043,Comfort Hotel Bergen,Holbergsallmenningen bussholdeplass,60.396329429740746,5.315115500234867,116,Lysverket,"Gamle Lysverket, ved KODE",60.38962622255798,5.3298637396027
2024-12-01 09:01:09.576000+00:00,2024-12-01 09:08:03.042000+00:00,413,804,Stenersen,Til høyre for inngang,60.390174061139966,5.324792207669702,132,Nøstetorget,Sukkerhusbryggen,60.39228413403305,5.314705281519707
2024-12-01 09:24:03.101000+00:00,2024-12-01 09:37:54.337000+00:00,831,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046,117,Verftet,Ved kaien på ved Georgernes verft,60.395877002094046,5.307755827707297
2024-12-01 09:25:44.020000+00:00,2024-12-01 10:48:13.205000+00:00,4949,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351,116,Lysverket,"Gamle Lysverket, ved KODE",60.38962622255798,5.3298637396027
2024-12-01 09:28:05.229000+00:00,2024-12-01 10:48:17.532000+00:00,4812,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351,116,Lysverket,"Gamle Lysverket, ved KODE",60.38962622255798,5.3298637396027
2024-12-01 09:30:03.204000+00:00,2024-12-01 09:33:36.855000+00:00,213,1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218
2024-12-01 09:31:39.920000+00:00,2024-12-01 09:40:25.210000+00:00,525,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,98,Brann Stadion,Bak Frydenbøtribunen,60.367425453190464,5.3551910634374735
2024-12-01 09:38:31.731000+00:00,2024-12-01 09:43:46.637000+00:00,314,1043,Comfort Hotel Bergen,Holbergsallmenningen bussholdeplass,60.396329429740746,5.315115500234867,803,Permanenten,Ved Inngang,60.3906427466302,5.324397430398562
2024-12-01 09:39:27.950000+00:00,2024-12-01 09:52:51.292000+00:00,803,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565
2024-12-01 09:40:43.896000+00:00,2024-12-01 09:50:22.327000+00:00,578,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777
